68.4,38.058284,-91.223635,public-access,"Onondaga State Park, Hwy. H bridge. public-access upstream from bridge on west. Onondaga Cave, about one mile up road to left, is one of the outstanding commercial caves in the state. East side of low-water bridge private with camping.",No,No
70.4,38.06145,-91.195871,landmark,Opossum Hollow Creek on left.,No,No
73.7,38.082977,-91.149979,public-access,Campbell Bridge Access on Hwy. N. CBR,Yes,No
78,38.111244,-91.156682,private-access,private-access canoe rental and campground.,No,No
78.6,38.123781,-91.156158,public-access,"Blue Springs Creek Conservation Area and access on Thickety Ford Road. Low-water bridge removed, but pilings still present. No ramp. Must carry canoe/kayak to river.",No,No
83.2,38.158534,-91.109378,public-access,Sappington Bridge Access. CBR,Yes,No
85.3,38.179713,-91.095585,landmark,Hamilton Creek on right.,No,No
85.8,38.180546,-91.092094,landmark,Green Cave and picnic shelter on right in Meramec State Park.,No,No
86.2,38.186909,-91.097253,landmark,Stater Creek on left.,No,No
88,38.203314,-91.098656,public-access,Meramec State Park boat ramp from Hwy. 185 at state park entrance.,No,No
88.2,38.210313,-91.09285,landmark,"State park picnic ground along left bank, from bridge to Camper's Spring. Stores for supplies 2.5 miles up road on left or in Sullivan 1.5 miles beyond.",No,No
88.5,38.213615,-91.088979,landmark,Camper's Spring on left at base of bluff.,No,No
89.5,38.218239,-91.077488,landmark,"Panther Cave, in bluff on right. The ""lower"" state park campground extends along the left bank in this area.",No,No
90,38.222045,-91.079167,public-access,Boat ramp in Meramec State Park on left. Watch for rock dike on left.,No,No
90.2,38.226986,-91.081214,landmark,Fisher Cave 0.2 mile from river on left is operated as a park concession.,No,No
91,38.234888,-91.067106,private-access,Silver Hollow Creek on right. 92.0 Private canoe park on left.,No,No
92.1,38.243586,-91.067242,private-access,Private concrete boat ramp on left.,No,No
92.3,38.243901,-91.071231,landmark,Private pavilion on left. Bluff on right.,No,No
94.3,38.241818,-91.091137,private-access,"Meramec Caverns and LaJolla Springs. Access. This cave is one of the commercial ones in the state. The management provides a park and picnic area for the public along the left bank, below the cave.",No,No
95.4,38.252603,-91.07995,public-access,Sand Ford Access off Hwy. W CBR,Yes,No
98,38.273143,-91.065655,landmark,Twin Springs and private club on left.,No,No
98.7,38.276986,-91.070324,landmark,"Roaring Spring, on left.",No,No
101.7,38.256794,-91.027783,landmark,Pickle Ford (Huff Ford). Poor access on left bank.,No,No
104.4,38.277959,-90.997923,landmark,Plum Ford.,No,No
112,38.276647,-90.944647,landmark,Hwy. K Bridge.,No,No
112.2,38.274845,-90.939623,landmark,Indian Creek on right.,No,No
112.3,38.27689,-90.937551,private-access,private-access at beach on right.,No,No
112.6,38.282703,-90.932283,public-access,"Red Horse Access on right, off Hwy. K, Old Hwy K and Project Road. CBR",Yes,No
117.3,38.322606,-90.921864,private-access,Hwy. 30-47 Bridge. private-access.,,
127.2,38.356103,-90.87265,public-access,"River 'Round Conservation Area and access, off TT to Mill Hill to Old Cove Road. CBR",Yes,No
131.4,38.383018,-90.88635,private-access,Hillcrest Park private-access.,No,No
132.4,38.394436,-90.888244,public-access,St. Louis-San Francisco R.R. Bridge. Access.,No,No
132.8,38.399186,-90.889456,public-access,Chouteau Claim Access at junction with Bourbeuse River. County road and bridge 0.4 mile up Bourbeuse. CBR,Yes,No
136,38.4363,-90.818342,public-access,Robertsville State Park access.,No,No
142.7,38.450625,-90.764415,public-access,Catawissa Conservation Area and access on right.,,
145.3,38.467181,-90.735689,private-access,Hwy. F Bridge. private-access.,No,No
147.3,38.477008,-90.715381,public-access,"Pacific Palisades Conservation Area and access on right, on English Road off Hwy. F. CBR",Yes,No
154.2,38.474603,-90.660083,public-access,"Allenton Access on left, off 1-44, at Allenton-Six Flags Road, go east on Main Street, south on Brown Road to Huntersford. CBR",Yes,No
161,38.50204,-90.591453,public-access,"Hwy. 66 bridges. Times Beach Access on left, at Lewis Road exit off 1-44. CBR",Yes,No
169,38.544767,-90.532417,public-access,Castlewood State Park off Kiefer Creek Road.,,
172.5,38.546228,-90.48437,public-access,Valley Park City Access (Valley Park). CBR,Yes,No
173.5,38.558211,-90.447819,public-access,"Green Tree Park Access (Kirkwood), off Marshall Road. CBR",Yes,No
176,38.5438,-90.434115,public-access,Ackerman Access at 1-44 Bridge. No ramp.,No,No
180.4,38.503304,-90.421564,public-access,"Winter County Park with ramps on right, off Corisande Beach Road.",No,No
192,38.417272,-90.347328,public-access,Flamm City Access on right below H 231 Bridge. Ramp. Last access above Mississippi River. CBR,Yes,No
